uid  , premise                                                                                                                                                                                                                                                                                                                                                                                                                     , hypothesis                                                                                                                                                                                                                                                                                                                                                             , label, reason
 7403, "Jeremy Wade McKinnon (born December 17, 1985) is an American musician and producer, best known as a founding member and the lead vocalist of A Day to Remember. He has produced full-length albums for The Devil Wears Prada, The Ghost Inside, Neck Deep, and Wage War."                                                                                                                                                  , Jeremy Mckinnon sang on the full length albums he produced for the devil wears prada                                                                                                                                                                                                                                                                                   ,     1, 
 7404, The Terry Pratchett First Novel Award is a biennial award for the best unpublished science fiction novel in the Commonwealth of Nations. It is named after British author Terry Pratchett. The book is chosen by a panel of judges previously including Pratchett.                                                                                                                                                          , The Terry Pratchett First Novel Award is a biennial award for the best published science fiction novel in the Commonwealth of Nations.                                                                                                                                                                                                                                 ,     2, 
 7405, Anthony Charles Lynton Blair (born 6 May 1953) is a British politician who served as Prime Minister of the United Kingdom from 2 May 1997 to 27 June 2007 and Leader of the Labour Party from 21 July 1994 to 24 June 2007. He previously served as Leader of the Opposition from 21 July 1994 to 2 May 1997. He is the most recent British Labour Party leader to have won a general election.                             , Anthony Charles Lynton Blair has the support of his wife.                                                                                                                                                                                                                                                                                                              ,     1, 
 7406, "Robbie Coltrane, OBE (born Anthony Robert McMillan; 30 March 1950) is a Scottish actor and author. He is known for his roles as Rubeus Hagrid in the ""Harry Potter"" films, as Valentin Dmitrovich Zukovsky in the James Bond films ""GoldenEye"" and ""The World Is Not Enough,"" and as Dr. Eddie ""Fitz"" Fitzgerald in the British TV series ""Cracker"" during the 1990s."                                           , Robbie Coltrane has starred in 2 James Bond Films                                                                                                                                                                                                                                                                                                                      ,     1, 
 7407, "The 34th Los Angeles Film Critics Association Awards, given by the Los Angeles Film Critics Association (LAFCA), honored the best in film for 2008. Pixar's animated film ""WALL-E"" won the Best Film award and became the first ever animated film to do so, however, the film lost the Best Animated Film award to ""Waltz with Bashir""."                                                                              , """Waltz with Bashir"" won the Best Film award."                                                                                                                                                                                                                                                                                                                       ,     2, 
 7408, "Through the Desert is a German-style board game designed by Reiner Knizia. It was originally released in 1998 by German game publisher, Kosmos, under the name ""Durch die Wüste"". Players place pastel colored plastic camels on a hexagon-based board in an attempt to score points by capturing watering holes and reaching oases."                                                                                    , Through the Desert is a popular game.                                                                                                                                                                                                                                                                                                                                  ,     1, 
 7409, "Peter Thomas Ward (born July 26, 1937 in Montreal, Quebec) is a retired professional baseball player who played 9 seasons for the Baltimore Orioles, Chicago White Sox, and New York Yankees of Major League Baseball. The son of former National Hockey League forward Jimmy Ward, Pete attended Jefferson High School in Portland, Oregon and played college baseball at Portland's Lewis & Clark College."              , Ward wasn't born in North America                                                                                                                                                                                                                                                                                                                                      ,     2, 
 7410, "The Comstock–Needham system is a naming system for insect wing veins, devised by John Comstock and George Needham in 1898. It was an important step in showing the homology of all insect wings. This system was based on Needham's ""pretracheation theory"" that was later discredited by Frederic Charles Fraser in 1938."                                                                                              , "John Comstock discredited the ""pretracheation theory""."                                                                                                                                                                                                                                                                                                             ,     2, 
 7411, """M.I.L.F. $"" (pronounced ""MILF money"") is a song recorded by American singer Fergie for her second studio album, ""Double Dutchess"" (2017). It was produced by Polow da Don and released as the second single from the record following ""L.A. Love (La La)"" on July 1, 2016 by Interscope and will.i.am Music Group. It debuted at number 34 on the US ""Billboard"" Hot 100 with 65,000 in first-week sales."      , "Polow da Don produced Fergie's song entitled, M.I.L.F.$ from her album ""Double Duchess."""                                                                                                                                                                                                                                                                           ,     0, 
 7412, "Safe is a 2012 American action crime thriller film written and directed by Boaz Yakin and starring Jason Statham, Chris Sarandon, Robert John Burke and James Hong. Statham plays an ex-cop and former cage fighter who winds up protecting a gifted child who is being chased by the Russian mafia, Chinese Triads, and corrupt New York City police."                                                                    , Statham protects a widow in Safe.                                                                                                                                                                                                                                                                                                                                      ,     2, 
 7413, The Terry Pratchett First Novel Award is a biennial award for the best unpublished science fiction novel in the Commonwealth of Nations. It is named after British author Terry Pratchett. The book is chosen by a panel of judges previously including Pratchett.                                                                                                                                                          , The Terry Pratchett First Novel Award is a biennial award for the best unpublished science fiction novel in the Commonwealth of Pennsylvania.                                                                                                                                                                                                                          ,     2, 
 7414, "Them Crooked Vultures is the debut studio album by the rock supergroup Them Crooked Vultures that was released on November 16, 2009. The first single from the album, ""New Fang"", was released on October 26, 2009, followed by ""Mind Eraser, No Chaser"" on November 3. The album debuted at number 12 on the ""Billboard"" 200, selling 70,000 units in the US in its first week."                                    , Them Crooked Vultures' debut studio album was their most successful album.                                                                                                                                                                                                                                                                                             ,     1, 
 7415, Anthony Charles Lynton Blair (born 6 May 1953) is a British politician who served as Prime Minister of the United Kingdom from 2 May 1997 to 27 June 2007 and Leader of the Labour Party from 21 July 1994 to 24 June 2007. He previously served as Leader of the Opposition from 21 July 1994 to 2 May 1997. He is the most recent British Labour Party leader to have won a general election.                             , Anthony Charles Lynton Blair enjoys being in the spotlight.                                                                                                                                                                                                                                                                                                            ,     1, 
 7416, """Moment by Moment"" is the title theme song to the 1978 Universal Pictures film ""Moment by Moment"" starring Lily Tomlin and John Travolta. It is written by Lee Holdridge and Molly-Ann Leikin and performed by American singer Yvonne Elliman. The song is featured twice on the film's soundtrack album, as the first track and reprised as the final track, including three instrumental versions."                  , """Moment by Moment"" is a good theme song"                                                                                                                                                                                                                                                                                                                            ,     1, 
 7417, "Jeremy Wade McKinnon (born December 17, 1985) is an American musician and producer, best known as a founding member and the lead vocalist of A Day to Remember. He has produced full-length albums for The Devil Wears Prada, The Ghost Inside, Neck Deep, and Wage War."                                                                                                                                                  , Jeremy McKinnon is an American musician solely known for his popular albums.                                                                                                                                                                                                                                                                                           ,     1, 
 7418, "Peter Thomas Ward (born July 26, 1937 in Montreal, Quebec) is a retired professional baseball player who played 9 seasons for the Baltimore Orioles, Chicago White Sox, and New York Yankees of Major League Baseball. The son of former National Hockey League forward Jimmy Ward, Pete attended Jefferson High School in Portland, Oregon and played college baseball at Portland's Lewis & Clark College."              , Ward's family didn't play sports                                                                                                                                                                                                                                                                                                                                       ,     2, 
 7419, """Drunk Girls"" is a song by American rock band LCD Soundsystem. It was released as the second single from their third studio album, ""This Is Happening"" (2010), on May 3, 2010. Band frontman James Murphy has described the song as ""dumb"" but added ""I like dumb, short stuff."" The 7"" single features a cover of the song by San Francisco psychedelic rock band Wooden Shjips."                                , A band from San Francisco have covered a band that James Murphy is the frontman for.                                                                                                                                                                                                                                                                                   ,     0, 
 7420, "Dadna (Arabic: ضدنا) is a village in Fujairah, United Arab Emirates, located 45 km north of the city centre. The area's economy has depended since ancient times on agriculture and fishing, in which much of the population works today. The village is known for its large supply of water and has been a site for many farms of the royal families across the Emirates."                                                , Dadna is a very poor village\                                                                                                                                                                                                                                                                                                                                          ,     1, 
 7421, """Moment by Moment"" is the title theme song to the 1978 Universal Pictures film ""Moment by Moment"" starring Lily Tomlin and John Travolta. It is written by Lee Holdridge and Molly-Ann Leikin and performed by American singer Yvonne Elliman. The song is featured twice on the film's soundtrack album, as the first track and reprised as the final track, including three instrumental versions."                  , " ""Moment by Moment"" is a bad theme song"                                                                                                                                                                                                                                                                                                                            ,     1, 
 7422, "Denis Hale Johnson (July 1, 1949 – May 24, 2017) was an American writer best known for his short story collection ""Jesus' Son"" (1992) and his novel ""Tree of Smoke"" (2007), which won the National Book Award for Fiction. He also wrote plays, poetry, journalism, and non-fiction."                                                                                                                                  , Denis Hale Johnson is most famous for his journalism.                                                                                                                                                                                                                                                                                                                  ,     1, 
 7423, """Moment by Moment"" is the title theme song to the 1978 Universal Pictures film ""Moment by Moment"" starring Lily Tomlin and John Travolta. It is written by Lee Holdridge and Molly-Ann Leikin and performed by American singer Yvonne Elliman. The song is featured twice on the film's soundtrack album, as the first track and reprised as the final track, including three instrumental versions."                  , """Moment by Moment"" has good ratings for a theme song."                                                                                                                                                                                                                                                                                                              ,     1, 
 7424, "Jeremy Wade McKinnon (born December 17, 1985) is an American musician and producer, best known as a founding member and the lead vocalist of A Day to Remember. He has produced full-length albums for The Devil Wears Prada, The Ghost Inside, Neck Deep, and Wage War."                                                                                                                                                  , Jeremy McKinnon wrote all the music for the devil wears prada                                                                                                                                                                                                                                                                                                          ,     1, 
 7425, "Thomas ""Tom"" Sawyer is the title character of the Mark Twain novel ""The Adventures of Tom Sawyer"" (1876). He appears in three other novels by Twain: ""Adventures of Huckleberry Finn"" (1884), ""Tom Sawyer Abroad"" (1894), and ""Tom Sawyer, Detective"" (1896)."                                                                                                                                                   , Tom Sawyer is the first novel every American boy has read.                                                                                                                                                                                                                                                                                                             ,     1, 
 7426, "A taxi dancer is a paid dance partner in a partner dance. Taxi dancers are hired to dance with their customers on a dance-by-dance basis. When taxi dancing first appeared in taxi-dance halls during early 20th-century America, male patrons would buy dance tickets for ten cents each."                                                                                                                                , Taxi dancing first appeared in Spain.                                                                                                                                                                                                                                                                                                                                  ,     2, 
 7427, "Safe is a 2012 American action crime thriller film written and directed by Boaz Yakin and starring Jason Statham, Chris Sarandon, Robert John Burke and James Hong. Statham plays an ex-cop and former cage fighter who winds up protecting a gifted child who is being chased by the Russian mafia, Chinese Triads, and corrupt New York City police."                                                                    , Only New York mafia figures are depicted in Safe.                                                                                                                                                                                                                                                                                                                      ,     2, 
 7428, "The Rikugun Ki-202 ""Shūsui-Kai"" (Japanese: 三菱 Ki-202 秋水改 , translated as ""Sharp Sword, improved"") was a direct development of the German Messerschmitt Me 163 ""Komet"" rocket-powered interceptor aircraft. None were produced before Japan's surrender that ended World War II."                                                                                                                                , The Rikugun Ki-202 flies.                                                                                                                                                                                                                                                                                                                                              ,     0, 
 7429, """Moment by Moment"" is the title theme song to the 1978 Universal Pictures film ""Moment by Moment"" starring Lily Tomlin and John Travolta. It is written by Lee Holdridge and Molly-Ann Leikin and performed by American singer Yvonne Elliman. The song is featured twice on the film's soundtrack album, as the first track and reprised as the final track, including three instrumental versions."                  , """Moment by Moment"" has bad ratings for a theme song."                                                                                                                                                                                                                                                                                                               ,     1, 
 7430, "The Rikugun Ki-202 ""Shūsui-Kai"" (Japanese: 三菱 Ki-202 秋水改 , translated as ""Sharp Sword, improved"") was a direct development of the German Messerschmitt Me 163 ""Komet"" rocket-powered interceptor aircraft. None were produced before Japan's surrender that ended World War II."                                                                                                                                , The Rikugun Ki-202 is piloted.                                                                                                                                                                                                                                                                                                                                         ,     0, 
 7431, "Higher Ground is an American-Canadian drama television series created by Michael Braverman and Matthew Hastings. The convention-breaking series follows a group of at-risk teenagers attending Mount Horizon High School, a therapeutic boarding school, as they brave the difficulties, failures, and triumphs of their personal struggles with addiction, abuse, and disorders."                                         , Higher Ground is a television series created by Seth Rogen.                                                                                                                                                                                                                                                                                                            ,     2, 
 7432, The Terry Pratchett First Novel Award is a biennial award for the best unpublished science fiction novel in the Commonwealth of Nations. It is named after British author Terry Pratchett. The book is chosen by a panel of judges previously including Pratchett.                                                                                                                                                          , The Terry Pratchett First Novel Award is named after Boston's author Terry Pratchett.                                                                                                                                                                                                                                                                                  ,     2, 
 7433, "The Mitsubishi J8M ""Shūsui"" (Japanese: 三菱 J8M 秋水, literally ""Autumn Water"", used as a poetic term meaning ""Sharp Sword"" deriving from the swishing sound of a sword) was a Japanese World War II rocket-powered interceptor aircraft closely based on the German Messerschmitt Me 163 ""Komet""."                                                                                                                , "The Mitsubishi J8M ""Shūsui""was destroyed after the World War II "                                                                                                                                                                                                                                                                                                   ,     1, 
 7434, Anthony Charles Lynton Blair (born 6 May 1953) is a British politician who served as Prime Minister of the United Kingdom from 2 May 1997 to 27 June 2007 and Leader of the Labour Party from 21 July 1994 to 24 June 2007. He previously served as Leader of the Opposition from 21 July 1994 to 2 May 1997. He is the most recent British Labour Party leader to have won a general election.                             , Anthony Charles Lynton Blair plans to keep working in politics.                                                                                                                                                                                                                                                                                                        ,     1, 
 7435, """Drunk Girls"" is a song by American rock band LCD Soundsystem. It was released as the second single from their third studio album, ""This Is Happening"" (2010), on May 3, 2010. Band frontman James Murphy has described the song as ""dumb"" but added ""I like dumb, short stuff."" The 7"" single features a cover of the song by San Francisco psychedelic rock band Wooden Shjips."                                , James Murphy is in a band.                                                                                                                                                                                                                                                                                                                                             ,     0, 
 7436, "Fido Dido is a cartoon character created by Joanna Ferrone and Sue Rose. Rose first developed the character in 1985, on a napkin in a restaurant. They later stenciled Fido on T-shirts with the credo: ""Fido is for Fido, Fido is against no one"". These T-shirts became very popular in New York."                                                                                                                     , Fido Dido was created for a soft drink.                                                                                                                                                                                                                                                                                                                                ,     2, 
 7437, "A taxi dancer is a paid dance partner in a partner dance. Taxi dancers are hired to dance with their customers on a dance-by-dance basis. When taxi dancing first appeared in taxi-dance halls during early 20th-century America, male patrons would buy dance tickets for ten cents each."                                                                                                                                , Taxi dancing is a free service.                                                                                                                                                                                                                                                                                                                                        ,     2, 
 7438, "Dadna (Arabic: ضدنا) is a village in Fujairah, United Arab Emirates, located 45 km north of the city centre. The area's economy has depended since ancient times on agriculture and fishing, in which much of the population works today. The village is known for its large supply of water and has been a site for many farms of the royal families across the Emirates."                                                , Dadna is too far from the city centre                                                                                                                                                                                                                                                                                                                                  ,     1, 
 7439, "Corydalis (Greek ""korydalís"" ""crested lark"") is a genus of about 470 species of annual and perennial herbaceous plants in the Papaveraceae family, native to the temperate Northern Hemisphere and the high mountains of tropical eastern Africa. They are most diverse in China and the Himalayas, with at least 357 species in China."                                                                               , Most Corydalis species are perennials.                                                                                                                                                                                                                                                                                                                                 ,     1, 
 7440, "The Mitsubishi J8M ""Shūsui"" (Japanese: 三菱 J8M 秋水, literally ""Autumn Water"", used as a poetic term meaning ""Sharp Sword"" deriving from the swishing sound of a sword) was a Japanese World War II rocket-powered interceptor aircraft closely based on the German Messerschmitt Me 163 ""Komet""."                                                                                                                , "The Mitsubishi J8M ""Shūsui""was ordered to be destroyed after the World War II because of its danger"                                                                                                                                                                                                                                                                ,     1, 
 7441, Anthony Charles Lynton Blair (born 6 May 1953) is a British politician who served as Prime Minister of the United Kingdom from 2 May 1997 to 27 June 2007 and Leader of the Labour Party from 21 July 1994 to 24 June 2007. He previously served as Leader of the Opposition from 21 July 1994 to 2 May 1997. He is the most recent British Labour Party leader to have won a general election.                             , Anthony Charles Lynton Blair plans to serve as Prime Minister again.                                                                                                                                                                                                                                                                                                   ,     1, 
 7442, "CK Life Sciences International (Holdings) Inc. () (), or CK Life Sciences, is the subsidiary of Cheung Kong Holdings in Hong Kong. It is engaged in the business of research and development, commercialization, marketing and sale of biotechnology products. The chairman is Mr. Victor Li, the elder son of Mr. Li Ka-shing, the chairman of Cheung Kong Holdings."                                                     , Mr. Li Ka-shing is Victor Li's father.                                                                                                                                                                                                                                                                                                                                 ,     0, 
 7443, "Edgewater is a borough located along the Hudson River in Bergen County, New Jersey, United States. As of the 2010 United States Census, the borough had a population of 11,513, reflecting an increase of 3,836 (+50.0%) from the 7,677 counted in the 2000 Census, which had in turn increased by 2,676 (+53.5%) from the 5,001 counted in the 1990 Census."                                                              , Edgewater has fewer residents than it did 20 years ago.                                                                                                                                                                                                                                                                                                                ,     2, 
 7444, "Jeremy Wade McKinnon (born December 17, 1985) is an American musician and producer, best known as a founding member and the lead vocalist of A Day to Remember. He has produced full-length albums for The Devil Wears Prada, The Ghost Inside, Neck Deep, and Wage War."                                                                                                                                                  , Jeremy Mckinnon is an award winning American producer and musician                                                                                                                                                                                                                                                                                                     ,     1, 
 7445, "Thomas ""Tom"" Sawyer is the title character of the Mark Twain novel ""The Adventures of Tom Sawyer"" (1876). He appears in three other novels by Twain: ""Adventures of Huckleberry Finn"" (1884), ""Tom Sawyer Abroad"" (1894), and ""Tom Sawyer, Detective"" (1896)."                                                                                                                                                   , Mark Twain's The Adventures of Tom Sawyer will sell more copies than Huckleberry Finn next year.                                                                                                                                                                                                                                                                       ,     1, 
 7446, "Boo Boo and the Man is a 2002 short cartoon starring Boo Boo Bear, the sidekick of Yogi Bear. It was made by ""The Ren & Stimpy Show"" creator John Kricfalusi and his company Spümcø using Macromedia Flash. The short was one of the last ""Web Premiere Toons"" shorts produced for Cartoon Network's official website."                                                                                                , Yogi Bear has a sidekick named Boo Boo Bear                                                                                                                                                                                                                                                                                                                            ,     0, 
 7447, The Terry Pratchett First Novel Award is a biennial award for the best unpublished science fiction novel in the Commonwealth of Nations. It is named after British author Terry Pratchett. The book is chosen by a panel of judges previously including Pratchett.                                                                                                                                                          , The Terry Pratchett First Non-fiction Award is named after British author Terry Pratchett.                                                                                                                                                                                                                                                                             ,     2, 
 7448, "Raees (English: ""Wealthy"") is a 2017 Indian crime action film film directed by Rahul Dholakia and produced by Gauri Khan, Ritesh Sidhwani and Farhan Akhtar under their banners Red Chillies Entertainment and Excel Entertainment. It stars Shah Rukh Khan, Mahira Khan and Nawazuddin Siddiqui. The film was a critical and commercial success."                                                                       , Raees made a profit at the box office.                                                                                                                                                                                                                                                                                                                                 ,     0, 
 7449, "The Mitsubishi J8M ""Shūsui"" (Japanese: 三菱 J8M 秋水, literally ""Autumn Water"", used as a poetic term meaning ""Sharp Sword"" deriving from the swishing sound of a sword) was a Japanese World War II rocket-powered interceptor aircraft closely based on the German Messerschmitt Me 163 ""Komet""."                                                                                                                , "All but one Mitsubishi J8M ""Shūsui""was destroyed after the World War II "                                                                                                                                                                                                                                                                                           ,     1, 
 7450, "Mischa Berlinski (born 1973 in New York, United States) is an American author. His first novel, ""Fieldwork"", was a finalist for the 2007 National Book Award. In 2008 Berlinski won a $50,000 Whiting Award, given to writers showing early promise in their careers."                                                                                                                                                   , Mischa Berlinski has won many awards.                                                                                                                                                                                                                                                                                                                                  ,     1, 
 7451, "Boo Boo and the Man is a 2002 short cartoon starring Boo Boo Bear, the sidekick of Yogi Bear. It was made by ""The Ren & Stimpy Show"" creator John Kricfalusi and his company Spümcø using Macromedia Flash. The short was one of the last ""Web Premiere Toons"" shorts produced for Cartoon Network's official website."                                                                                                , Boo Boo and the Man was created using Macromedia Flash                                                                                                                                                                                                                                                                                                                 ,     0, 
 7452, """Moment by Moment"" is the title theme song to the 1978 Universal Pictures film ""Moment by Moment"" starring Lily Tomlin and John Travolta. It is written by Lee Holdridge and Molly-Ann Leikin and performed by American singer Yvonne Elliman. The song is featured twice on the film's soundtrack album, as the first track and reprised as the final track, including three instrumental versions."                  , Moment by Moment title theme song needs better ratings.                                                                                                                                                                                                                                                                                                                ,     1, 
 7453, "Denis Hale Johnson (July 1, 1949 – May 24, 2017) was an American writer best known for his short story collection ""Jesus' Son"" (1992) and his novel ""Tree of Smoke"" (2007), which won the National Book Award for Fiction. He also wrote plays, poetry, journalism, and non-fiction."                                                                                                                                  , Denis Hale Johnson had a son.                                                                                                                                                                                                                                                                                                                                          ,     1, 
 7454, "Higher Ground is an American-Canadian drama television series created by Michael Braverman and Matthew Hastings. The convention-breaking series follows a group of at-risk teenagers attending Mount Horizon High School, a therapeutic boarding school, as they brave the difficulties, failures, and triumphs of their personal struggles with addiction, abuse, and disorders."                                         , Higher Ground is a Spanish drama television series.                                                                                                                                                                                                                                                                                                                    ,     2, 
 7455, "Sherlock Holmes is a 1916 American silent film starring William Gillette as Arthur Conan Doyle's Sherlock Holmes. The film, which was directed by Arthur Berthelet, was produced by Essanay Studios in Chicago. It was adapted from the 1899 stage play of the same name, which was based on the stories, ""A Scandal in Bohemia,"" ""The Final Problem,"" and ""A Study in Scarlet"" by Arthur Conan Doyle."              , Sherlock Holmes became popular only after 1916                                                                                                                                                                                                                                                                                                                         ,     1, 
 7456, "John Charles Hockenberry (born June 4, 1956) is an American journalist and author, a four-time Emmy Award winner and three-time Peabody Award winner. From April 2008 until August 2017, Hockenberry was the host of ""The Takeaway"", a live national news program created by Public Radio International and WNYC New York."                                                                                              , John Charles Hockenberry is a Republican.                                                                                                                                                                                                                                                                                                                              ,     1, 
 7457, The Terry Pratchett First Novel Award is a biennial award for the best unpublished science fiction novel in the Commonwealth of Nations. It is named after British author Terry Pratchett. The book is chosen by a panel of judges previously including Pratchett.                                                                                                                                                          , The Terry Pratchett First Novel Award is awarded every other year.                                                                                                                                                                                                                                                                                                     ,     2, 
 7458, "Dadna (Arabic: ضدنا) is a village in Fujairah, United Arab Emirates, located 45 km north of the city centre. The area's economy has depended since ancient times on agriculture and fishing, in which much of the population works today. The village is known for its large supply of water and has been a site for many farms of the royal families across the Emirates."                                                , "Dadna's water is perfectly PH balanced, which is why royal families prefer water from there"                                                                                                                                                                                                                                                                          ,     1, 
 7459, "John Martin Thompson (1829–1907) was a lumberman and civic leader, born in the old Cherokee Nation prior to removal in what is now Cass County, Georgia, USA. He was the son of Benjamin Franklin Thompson, a South Carolinian of Scottish descent, and Annie Martin, a mix blood Cherokee. She was the daughter of Judge John Martin, the first Chief Justice of the Cherokee Nation."                                    , John Martin Thompson's grandfather was a full-blood Cherokee                                                                                                                                                                                                                                                                                                           ,     1, 
